panel	study_label	time_label	athermal_events	athermal_total	energy_events	energy_total	athermal_mean	athermal_sd	energy_mean	energy_sd	athermal_n	energy_n	effect	low	high	variance
continence	Fuschi 2025	15 days	76	97	61	98	NA	NA	NA	NA	NA	NA	1.25874598614163	1.04475831004468	1.51656267520848	0.0090379773766244
continence	Fuschi 2025	30 days	85	97	70	98	NA	NA	NA	NA	NA	NA	1.22680412371134	1.06031793452287	1.4194311997867	0.0055370601848987
continence	Fuschi 2025	90 days	91	97	84	98	NA	NA	NA	NA	NA	NA	1.09450171821306	0.994687753368659	1.20433171828481	0.00238041291060437
iief5	Fuschi 2025	30 days	NA	NA	NA	NA	7.68	2.45	5.66	2.59	97	98	2.02	1.31242465244002	2.72757534755998	0.130331443298969
iief5	Fuschi 2025	90 days	NA	NA	NA	NA	10.13	2.47	7.38	2.49	97	98	2.75	2.05383413839927	3.44616586160074	0.126162202819272
iief5	Fuschi 2025	180 days	NA	NA	NA	NA	15.55	2.94	12.73	2.95	97	98	2.82	1.9932986715513	3.6467013284487	0.177910298758679
potency_3m	Ahlering family	3 months	53	139	3	36	NA	NA	NA	NA	NA	NA	4.57553956834532	1.51711730265479	13.7995673141811	0.317229235479541
potency_3m	Joseph 2006	3 months	5	15	10	15	NA	NA	NA	NA	NA	NA	0.5	0.224630347769267	1.11293955817934	0.166666666666667
potency_long	Hofmann 2022	Long term	150	283	85	195	NA	NA	NA	NA	NA	NA	1.21596341716899	1.00181299217552	1.4758912526004	0.00976959851622084
potency_long	Basourakos 2022	>2 years	28	42	25	35	NA	NA	NA	NA	NA	NA	0.933333333333333	0.691852625180262	1.25909923502009	0.0233333333333333
potency_long	Ahlering family	24 months	46	50	24	38	NA	NA	NA	NA	NA	NA	1.45666666666667	1.12741462292586	1.88207402550013	0.0170900076277651
